G:1000(Avg-Temp > 55 && Avg-Temp < 90) && !F:10( Low < 50 && High > 95 && Inches-Rain > 6)
#checks whether a monthly forecast trace qualifies as 'good weather'
Avg-Temp Inches-Rain Chance-Rain High Low
75.03 0.25 48.12 90.97 68.42
58.38 5.89 28.39 85.84 61.75
65.71 3.63 5.94 92.29 56.89
76.89 5.80 52.05 88.07 74.50
71.75 3.22 51.81 91.99 63.16
80.63 5.94 46.45 89.26 59.00
78.42 0.39 35.30 82.53 67.03
64.67 0.97 15.50 85.12 67.51
75.72 3.30 51.34 87.58 52.99
81.75 1.58 40.62 93.60 73.65
61.76 5.07 28.24 92.25 72.92
59.25 2.05 57.83 86.19 58.94
64.21 3.97 51.74 86.44 57.06
61.42 3.87 16.16 83.45 56.28
58.73 4.05 5.95 83.30 69.85
58.82 2.40 49.31 89.34 54.44
66.76 3.55 56.70 93.27 55.05
76.35 1.17 47.87 83.69 71.03
66.03 0.75 23.57 92.01 55.41
77.18 3.38 35.75 81.76 57.73
67.24 0.75 10.66 87.42 70.16
64.32 0.95 45.93 84.78 63.48
57.76 5.44 23.13 83.44 57.44
65.98 1.81 25.39 80.80 68.53
74.45 4.10 7.42 85.48 70.80
72.95 0.39 29.29 86.89 55.33
80.82 4.66 27.32 93.53 53.24
79.75 2.90 52.83 92.14 74.31
69.34 0.99 11.65 92.14 72.56
57.17 2.24 35.73 90.24 53.27
68.74 5.16 26.04 92.19 63.79
